title,Description,URL,Category,tags
Crystal Agile Framework In A Nutshell - FourWeekMBA,Crystal  - Agile,https://fourweekmba.com/crystal-agile-framework/,Agile,Agile
What is Extreme Programming?,Extreme Programing,https://ronjeffries.com/xprog/what-is-extreme-programming/,Agile,Extreme Programming
How to Read the Cumulative Flow Diagram [Infographic] | Nave,CFD,https://getnave.com/blog/how-to-read-the-cumulative-flow-diagram-infographic/,Agile,Programming
Affinity Estimation - Agile Estimation Method - Tech Agilist,Affinity Estimation is a technique many agile teams use too quickly and easily estimate a large number of user stories in story points. Other estimation,https://www.techagilist.com/agile/scrum/affinity-estimation-agile-estimation-method/,Agile,Agile
What is DSDM?,DSDM,https://www.agilebusiness.org/business-agility/what-is-dsdm.html#:~:text=What%20is%20DSDM%3F- DSDM%20is%20an%20Agile%20method%20that%20focuses%20on%20the%20full new%20iterative%20way%20of%20working.,Agile,"Agile, References"
Agile Delivery Metric of the Week: Escaped Defects - Plandek,Agile metrics,"https://plandek.com/2021/10/13/plandek-metric-of-the-week-escaped-defects/#:~:text=What%20are%20Escaped%20Defects%3F,by%20customers%20using%20the%20product).",Agile,Agile
"Prioritization by Business value in Agile | ScrumDesk, Scrum Meaningfully",Scrum,https://www.scrumdesk.com/business-value-prioritization-in-scrumdesk/,Agile,"Agile, References, Scrum"
5 Project Management Workflow Scenarios Solved By Hub Planner - The Digital Project Manager,Digital Project management,https://thedigitalprojectmanager.com/tools/5-project-management-workflow-scenarios-solved-by-hub-planner/,Agile,PM
Leading SAFe® 5.1 Scaled Agile Certification Training | Safe Certification,Agile SAFe,https://www.simplilearn.com/agile-and-scrum/safe-agilist-certification-training#course-curriculum?utm_source=google&utm_medium=cpc&utm_term=&utm_content=7245694319-83049809009-391504027325&utm_device=m&utm_campaign=Search-DigitalOperationsCluster-Agile-SAFe-IN-Main-AllDevice-adgroup-AgileScrum-SafeAgilist-New,Agile,Agile SaFe
Agile Project Management: Free Scrum Tools,Agile,https://www.mountaingoatsoftware.com/tools,Agile,"Business Tools and techniques, Agile, Scaled Agile"
Agile Alliance,Agile Alliance,https://www.agilealliance.org/,Agile,"Scaled Agile, Agile, References"
ASK - Agile Scaling Knowledge,ASK,http://www.agilescaling.com/,Agile,Scaled Agile
Flight Levels in Action | Agile Academy,Agile,https://www.agile-academy.com/en/organizational-development/flight-levels-in-action-klaus-leopold/,Agile,"References, Agile"
Overview - Large Scale Scrum (LeSS),Less,https://less.works/,Agile,"References, Scrum"
JadeALM – Go beyond Sprints and Issue tracking,Agile,https://jadealm.com/,Agile,"Agile, References"
Agile Tools and Techniques | Project Resources,Agile,https://projectresources.cdt.ca.gov/agile/agile-tools-and-techniques/,Agile,Agile
Agile Retrospective Resource Wiki,Agile,https://retrospectivewiki.org/index.php?title=Agile_Retrospective_Resource_Wiki,Agile,Agile
A chaordic leadership model for a virtual project management environment,Choadic,https://www.pmi.org/learning/library/leadership-model-virtual-pm-environment-108,Agile,"Agile, References"
What is a Burn Up Chart & How to Use it? | ClickUp,Burn up,https://clickup.com/blog/burn-up-chart/,Agile,"References, Scrum"
Trello,Trello,https://trello.com/b/fTkehk1g,Agile,Agile
Information Vaults and Radiators,Agile,https://www.leadingagile.com/2017/11/information-radiator-information-vaults/,Agile,Agile
Agile Metrics: The 15 That Actually Matter for Success - Plutora.com,Agile Metrics,https://www.plutora.com/blog/agile-metrics,Agile,Agile
Maximizing the Value of Agile Metrics | LeadingAgile,Leading Agile,https://www.leadingagile.com/podcast/maximizing-the-value-of-agile-metrics/,Agile,Agile
Famous laws of Software development,Laws,https://www.timsommer.be/famous-laws-of-software-development/,Agile,"Kanban, Scrum, Agile, References"
Cumulative Flow Diagram: What Is It And How To Read?,CFD,https://rovitpm.com/cumulative-flow-diagram/,Agile,"Agile, Kanban, References, Scrum"
Technical debt,Technical debt,https://refactoring.guru/refactoring/technical-debt,Agile,"Agile, References"
Code Smells,Code smell,https://refactoring.guru/refactoring/smells,Agile,Agile
The Benefits of Tailoring | PMI,Tailoring,"https://www.pmi.org/learning/library/tailoring-benefits-project-management-methodology-11133#:~:text=Tailoring%20is%20the%20process%20of,in%20use%20by%20the%20organization.",Agile,"Agile, References"
What is Lean Agile Project Management? - Kanban Zone Blog,Agile,https://kanbanzone.com/2020/what-is-lean-agile-project-management/,Agile,"Agile, Kanban"
Agile Academy - Your professional partner for Agile & Scrum,Scrum,https://www.agile-academy.com/en/,Agile,"Agile, Scrum"
Open Source Project Management Software-Scrum Tool - ZenTao,Agile,https://www.zentao.pm/index.mhtml,Agile,"Agile, Kanban"
What is DevOps? | Atlassian,Agile,https://www.atlassian.com/devops,Agile,Agile
Momenton – Medium,Agile,https://medium.com/momenton,Agile,References
What is Scrumban? | Planview,Scrumban is an Agile development methodology,https://www.planview.com/resources/guide/what-is-scrum/lkdc-what-is-scrumban/,Agile,"Agile, Kanban, Scrum"
Online Scrum Board | Agile Tools & Software | Wrike,Agile,https://www.wrike.com/features/scrum-board/,Agile,Agile
Sprint review vs. sprint retrospective: Why the difference matters - LogRocket Blog,Agile,"https://blog.logrocket.com/product-management/sprint-review-vs-retrospective/#:~:text=The%20sprint%20review%20is%20focused,in%20the%20sprint%20review%20meeting.",Agile,Agile
Agile leadership - more agility with the OKR method,Agile,"https://www.workpath.com/magazine/agile-leadership#:~:text=OKR%20(Objectives%20Key%20Results)%3A,quantifiable%20measures%2C%20the%20Key%20Results.",Agile,"Agile, References, Scrum"
martinfowler.com,Blog,https://martinfowler.com/,Agile,"Agile, References"
Index jira,Jira,https://university.atlassian.com/uploads/resource_courses/targets/3130587/original/scormdriver/indexAPI.html,Agile,"Training Resources, References"
Remote Management Solution - TeamViewer,Team viewef,https://www.teamviewer.com/en-us/remote-management/,Agile,Agile
Trunk-based Development | Atlassian,Atlassian,https://www.atlassian.com/continuous-delivery/continuous-integration/trunk-based-development#,Agile,"Agile, Scrum"
"Swarming: Instantly Boost Scrum Team Productivity, Here's How...","Swarming is a simple (but often overlooked) way to boost your Scrum Team's velocity, consistently used by hyper-productive teams. Here's why it works so well...",https://www.scruminc.com/swarming-instantly-boost-scrum-team-productivity/,Agile,"Swarming, Agile, Scrum"
