title,description,url,folder,tags,created,cover,highlights
Crystal Agile Framework In A Nutshell - FourWeekMBA,Crystal  - Agile,https://fourweekmba.com/crystal-agile-framework/,Agile,Agile,2023-03-07T09:41:57.713Z,https://fourweekmba.com/wp-content/uploads/2021/01/crystal-agile-framework.png,
What is Extreme Programming?,Extreme Programing,https://ronjeffries.com/xprog/what-is-extreme-programming/,Agile,Extreme Programming,2023-03-07T09:27:06.002Z,,
How to Read the Cumulative Flow Diagram [Infographic] | Nave,CFD,https://getnave.com/blog/how-to-read-the-cumulative-flow-diagram-infographic/,Agile,Programming,2023-01-21T08:24:34.093Z,https://getnave.com/blog/wp-content/uploads/2018/12/cumulative-flow-diagram-metrics.jpg,
Affinity Estimation - Agile Estimation Method - Tech Agilist,Affinity Estimation is a technique many agile teams use too quickly and easily estimate a large number of user stories in story points. Other estimation,https://www.techagilist.com/agile/scrum/affinity-estimation-agile-estimation-method/,Agile,Agile,2023-01-23T08:56:42.142Z,https://www.techagilist.com/wp-content/uploads/2020/11/agile-estimation-story-points.png,
What is DSDM?,DSDM,"https://www.agilebusiness.org/business-agility/what-is-dsdm.html#:~:text=What%20is%20DSDM%3F-,DSDM%20is%20an%20Agile%20method%20that%20focuses%20on%20the%20full,new%20iterative%20way%20of%20working.",Agile,"Agile, References",2023-01-21T11:42:01.280Z,https://www.agilebusiness.org/static/6a85e758-4286-4c9e-85433e440176449d/opengraphimage_83f4e8796336604b59d7216d0ecd81a5_4a7c7e45a350/banner-3.png,
Agile Delivery Metric of the Week: Escaped Defects - Plandek,Agile metrics,"https://plandek.com/2021/10/13/plandek-metric-of-the-week-escaped-defects/#:~:text=What%20are%20Escaped%20Defects%3F,by%20customers%20using%20the%20product).",Agile,Agile,2023-01-21T10:10:14.490Z,https://plandek.com/wp-content/uploads/2021/10/escaped-defects-thumbnail.jpg,
"Prioritization by Business value in Agile | ScrumDesk, Scrum Meaningfully",Scrum,https://www.scrumdesk.com/business-value-prioritization-in-scrumdesk/,Agile,"Agile, References, Scrum",2023-01-21T07:55:07.174Z,https://www.scrumdesk.com/wp-content/uploads/PRIORITIZE-BY-BUSINESS-VALUE.jpg,
5 Project Management Workflow Scenarios Solved By Hub Planner - The Digital Project Manager,Digital Project management,https://thedigitalprojectmanager.com/tools/5-project-management-workflow-scenarios-solved-by-hub-planner/,Agile,PM,2023-01-20T09:45:11.384Z,https://thedigitalprojectmanager.com/wp-content/uploads/2019/04/pm-tools.png,
Leading SAFe® 5.1 Scaled Agile Certification Training | Safe Certification,Agile SAFe,https://www.simplilearn.com/agile-and-scrum/safe-agilist-certification-training#course-curriculum?utm_source=google&utm_medium=cpc&utm_term=&utm_content=7245694319-83049809009-391504027325&utm_device=m&utm_campaign=Search-DigitalOperationsCluster-Agile-SAFe-IN-Main-AllDevice-adgroup-AgileScrum-SafeAgilist-New,Agile,Agile SaFe,2023-01-20T09:11:53.323Z,https://www.simplilearn.com/ice9/course_images/icons/safe-agelist.svgz,
Agile Project Management: Free Scrum Tools,Agile,https://www.mountaingoatsoftware.com/tools,Agile,"Business Tools and techniques, Agile, Scaled Agile",2023-01-16T13:12:40.727Z,,
